Dia,Bebida,Cantidad de vasos,Día Semanal,,,,Bebida ,Cantidad Arg
2022/30/03,Gaseosas,0,miércoles,,,,,
2022/30/03,Cafe,2,miércoles,,,,,
2022/30/03,Mate,0,miércoles,,,,,
2022/30/03,Jugo,0,miércoles,,,,,
2022/30/03,Otros,0,miércoles,,,,,
2022/31/03,Agua,4,jueves,,,,,
2022/31/03,Gaseosas,0,jueves,,,,,
2022/31/03,Cafe,2,jueves,,,,,
2022/31/03,Mate,0,jueves,,,,,
2022/31/03,Jugo,0,jueves,,,,,
2022/31/03,Otros,0,jueves,,,,,
1/4/2022,Agua,7,viernes,,,,,
1/4/2022,Gaseosas,0,viernes,,,,,
1/4/2022,Cafe,3,viernes,,,,,
1/4/2022,Mate,0,viernes,,,,,
1/4/2022,Jugo,0,viernes,,,,,
1/4/2022,Otros,1,viernes,,,,,
2/4/2022,Agua,7,sábado,,,,,
2/4/2022,Gaseosas,0,sábado,,,,,
2/4/2022,Cafe,3,sábado,,,,,
2/4/2022,Mate,0,sábado,,,,,
2/4/2022,Jugo,0,sábado,,,,,
2/4/2022,Otros,2,sábado,,,,,
3/4/2022,Agua,4,domingo,,,,,
3/4/2022,Gaseosas,0,domingo,,,,,
3/4/2022,Cafe,1,domingo,,,,,
3/4/2022,Mate,0,domingo,,,,,
3/4/2022,Jugo,0,domingo,,,,,
3/4/2022,Otros,0,domingo,,,,,
4/4/2022,Agua,5,lunes,,,,,
4/4/2022,Gaseosas,2,lunes,,,,,
4/4/2022,Cafe,3,lunes,,,,,
4/4/2022,Mate,0,lunes,,,,,
4/4/2022,Jugo,0,lunes,,,,,
4/4/2022,Otros,0,lunes,,,,,
5/4/2022,Agua,7,martes,,,,,
5/4/2022,Gaseosas,0,martes,,,,,
5/4/2022,Cafe,1,martes,,,,,
5/4/2022,Mate,0,martes,,,,,
5/4/2022,Jugo,0,martes,,,,,
5/4/2022,Otros,0,martes,,,,,
6/4/2022,Agua,8,miércoles,,,,,
6/4/2022,Gaseosas,0,miércoles,,,,,
6/4/2022,Cafe,2,miércoles,,,,,
6/4/2022,Mate,0,miércoles,,,,,
6/4/2022,Jugo,0,miércoles,,,,,
6/4/2022,Otros,0,miércoles,,,,,
7/4/2022,Agua,7,jueves,,,,,
7/4/2022,Gaseosas,0,jueves,,,,,
7/4/2022,Cafe,2,jueves,,,,,
7/4/2022,Mate,0,jueves,,,,,
7/4/2022,Jugo,0,jueves,,,,,
7/4/2022,Otros,0,jueves,,,,,
8/4/2022,Agua,7,viernes,,,,,
8/4/2022,Gaseosas,0,viernes,,,,,
8/4/2022,Cafe,2,viernes,,,,,
8/4/2022,Mate,0,viernes,,,,,
8/4/2022,Jugo,1,viernes,,,,,
8/4/2022,Otros,0,viernes,,,,,
9/4/2022,Agua,6,sábado,,,,,
9/4/2022,Gaseosas,0,sábado,,,,,
9/4/2022,Cafe,1,sábado,,,,,
9/4/2022,Mate,0,sábado,,,,,
9/4/2022,Jugo,0,sábado,,,,,
9/4/2022,Otros,0,sábado,,,,,
10/4/2022,Agua,7,domingo,,,,,
10/4/2022,Gaseosas,2,domingo,,,,,
10/4/2022,Cafe,2,domingo,,,,,
10/4/2022,Mate,0,domingo,,,,,
10/4/2022,Jugo,0,domingo,,,,,
10/4/2022,Otros,0,domingo,,,,,
11/4/2022,Agua,5,lunes,,,,,
11/4/2022,Gaseosas,0,lunes,,,,,
11/4/2022,Cafe,1,lunes,,,,,
11/4/2022,Mate,1,lunes,,,,,
11/4/2022,Jugo,2,lunes,,,,,
11/4/2022,Otros,0,lunes,,,,,
12/4/2022,Agua,5,martes,,,,,
12/4/2022,Gaseosas,0,martes,,,,,
12/4/2022,Cafe,2,martes,,,,,
12/4/2022,Mate,0,martes,,,,,
12/4/2022,Jugo,0,martes,,,,,
12/4/2022,Otros,0,martes,,,,,
2022/13/04,Agua,5,miércoles,,,,,
2022/13/04,Gaseosas,0,miércoles,,,,,
2022/13/04,Cafe,2,miércoles,,,,,
2022/13/04,Mate,0,miércoles,,,,,
2022/13/04,Jugo,0,miércoles,,,,,
2022/13/04,Otros,0,miércoles,,,,,
2022/14/04,Agua,5,jueves,,,,,
2022/14/04,Gaseosas,1,jueves,,,,,
2022/14/04,Cafe,2,jueves,,,,,
2022/14/04,Mate,0,jueves,,,,,
2022/14/04,Jugo,0,jueves,,,,,
2022/14/04,Otros,0,jueves,,,,,
2022/15/04,Agua,4,viernes,,,,,
2022/15/04,Gaseosas,0,viernes,,,,,
2022/15/04,Cafe,3,viernes,,,,,
2022/15/04,Mate,0,viernes,,,,,
2022/15/04,Jugo,0,viernes,,,,,
2022/15/04,Otros,0,viernes,,,,,
2022/16/04,Agua,5,sábado,,,,,
2022/16/04,Gaseosas,1.5,sábado,,,,,
2022/16/04,Cafe,2,sábado,,,,,
2022/16/04,Mate,0,sábado,,,,,
2022/16/04,Jugo,0,sábado,,,,,
2022/16/04,Otros,0,sábado,,,,,
2022/17/04,Agua,5,domingo,,,,,
2022/17/04,Gaseosas,0,domingo,,,,,
2022/17/04,Cafe,2,domingo,,,,,
2022/17/04,Mate,0,domingo,,,,,
2022/17/04,Jugo,2,domingo,,,,,
2022/17/04,Otros,0,domingo,,,,,
